scenario,replicate,seed,outcome,supports_convergence_hypothesis,contradicts_convergence_hypothesis,n_final,mean_pairwise_similarity,fusion_events,hgt_events,extinctions,coop_events,parasite_events,life_number,life_regime,multi_origin_survivor
competition_dominant,0,28,competitive_mono_lineage,True,False,1,1.0,0,1,4,2,3,67.62924943113046,sustained,False
competition_dominant,1,1028,multi_lineage_coexistence,False,True,2,0.7091522532685185,0,8,3,1,3,3.23309743168161,sustained,False
competition_dominant,2,2028,competitive_mono_lineage,True,False,1,1.0,0,2,4,1,4,66.22050853773358,sustained,False
competition_dominant,3,3028,competitive_mono_lineage,True,False,1,1.0,0,2,4,0,0,116.77118339927178,sustained,False
competition_dominant,4,4028,competitive_mono_lineage,True,False,1,1.0,0,1,4,2,8,67.25181732476327,sustained,False
competition_dominant,5,5028,competitive_mono_lineage,True,False,1,1.0,0,4,4,0,7,76.41817057960473,sustained,False
competition_dominant,6,6028,competitive_mono_lineage,True,False,1,1.0,0,1,4,4,0,76.93580998947839,sustained,False
competition_dominant,7,7028,multi_lineage_coexistence,False,True,2,0.616429193122201,0,4,3,2,13,63.71472092387477,sustained,False
competition_dominant,8,8028,competitive_mono_lineage,True,False,1,1.0,0,2,4,1,0,27.48857149686608,sustained,False
competition_dominant,9,9028,competitive_mono_lineage,True,False,1,1.0,0,2,4,1,5,84.78131674031529,sustained,False
competition_dominant,10,10028,competitive_mono_lineage,True,False,1,1.0,0,0,4,1,0,112.13978059120757,sustained,False
competition_dominant,11,11028,competitive_mono_lineage,True,False,1,1.0,0,4,4,0,4,99.02690233134442,sustained,False
competition_dominant,12,12028,multi_lineage_coexistence,False,True,2,0.5571790902738554,0,3,3,0,4,15.755908863309507,sustained,False
competition_dominant,13,13028,competitive_mono_lineage,True,False,1,1.0,0,0,4,0,0,114.13051134184454,sustained,False
competition_dominant,14,14028,multi_lineage_coexistence,False,True,2,0.6446636130276491,0,4,3,0,1,14.633232053169534,sustained,False
competition_dominant,15,15028,competitive_mono_lineage,True,False,1,1.0,0,1,4,1,0,94.04152670900116,sustained,False
niche_abundance_coexistence,0,39,information_homogenized_coexistence,False,True,5,0.8301072129234488,0,19,0,201,0,30.81696409427809,sustained,False
niche_abundance_coexistence,1,1039,multi_lineage_coexistence,False,True,4,0.70072299894992,0,16,1,219,0,56.47480174844974,sustained,False
niche_abundance_coexistence,2,2039,multi_lineage_coexistence,False,True,5,0.6813445456295153,0,7,0,298,0,7.587702773402731,sustained,False
niche_abundance_coexistence,3,3039,multi_lineage_coexistence,False,True,5,0.7260935467864106,0,12,0,207,0,4.655388763758508,sustained,False
niche_abundance_coexistence,4,4039,multi_lineage_coexistence,False,True,5,0.6678696142222781,0,6,0,84,0,1.3812435545862902,near_critical,False
niche_abundance_coexistence,5,5039,multi_lineage_coexistence,False,True,5,0.7077982596237613,0,14,0,24,0,3.621047071355181,sustained,False
niche_abundance_coexistence,6,6039,multi_lineage_coexistence,False,True,5,0.7475380257773787,0,18,0,28,0,0.6261510894075317,decay_dominated,False
niche_abundance_coexistence,7,7039,multi_lineage_coexistence,False,True,5,0.6445632359151379,0,13,0,55,0,4.576549286087315,sustained,False
niche_abundance_coexistence,8,8039,multi_lineage_coexistence,False,True,5,0.7038152691919228,0,14,0,202,0,2.0477094880587305,sustained,False
niche_abundance_coexistence,9,9039,multi_lineage_coexistence,False,True,5,0.6532278305650489,0,5,0,177,0,14.675473007219486,sustained,False
niche_abundance_coexistence,10,10039,multi_lineage_coexistence,False,True,5,0.7148631596119552,0,14,0,88,0,39.155000280781664,sustained,False
niche_abundance_coexistence,11,11039,multi_lineage_coexistence,False,True,5,0.7256954988980029,0,13,0,122,0,8.71688570998792,sustained,False
niche_abundance_coexistence,12,12039,multi_lineage_coexistence,False,True,5,0.800200880598746,0,17,0,99,0,21.62019227033663,sustained,False
niche_abundance_coexistence,13,13039,multi_lineage_coexistence,False,True,5,0.6918003355341151,0,12,0,105,0,13.868059331825874,sustained,False
niche_abundance_coexistence,14,14039,multi_lineage_coexistence,False,True,5,0.7630052484418849,0,13,0,178,0,9.213655312308573,sustained,False
niche_abundance_coexistence,15,15039,multi_lineage_coexistence,False,True,4,0.7904979933255466,0,9,1,30,0,12.770037273762378,sustained,False
hgt_without_fusion,0,50,information_homogenized_coexistence,False,True,5,0.9492586829102592,0,140,0,109,0,28.394986306345594,sustained,False
hgt_without_fusion,1,1050,information_homogenized_coexistence,False,True,4,0.891751230147502,0,127,1,72,0,19.92771972198338,sustained,False
hgt_without_fusion,2,2050,information_homogenized_coexistence,False,True,4,0.9511989041542587,0,147,1,24,0,26.162176644801434,sustained,False
hgt_without_fusion,3,3050,information_homogenized_coexistence,False,True,5,0.9100572214659426,0,136,0,172,0,1.5774116148594926,near_critical,False
hgt_without_fusion,4,4050,information_homogenized_coexistence,False,True,5,0.9776679301583389,0,142,0,73,0,1.5192761794820457,near_critical,False
hgt_without_fusion,5,5050,information_homogenized_coexistence,False,True,4,0.9577688053089516,0,142,1,106,0,34.330934673596175,sustained,False
hgt_without_fusion,6,6050,information_homogenized_coexistence,False,True,3,0.9297215689369224,0,137,2,32,0,34.20079199685761,sustained,False
hgt_without_fusion,7,7050,information_homogenized_coexistence,False,True,5,0.9482748345911842,0,143,0,40,0,19.28981801760665,sustained,False
hgt_without_fusion,8,8050,information_homogenized_coexistence,False,True,5,0.9663053416268585,0,146,0,19,0,1.8473634102154834,near_critical,False
hgt_without_fusion,9,9050,information_homogenized_coexistence,False,True,4,0.9742945894221983,0,145,1,68,0,1.669676571955005,near_critical,False
hgt_without_fusion,10,10050,information_homogenized_coexistence,False,True,4,0.9712670899178203,0,151,1,56,0,5.805761645268585,sustained,False
hgt_without_fusion,11,11050,information_homogenized_coexistence,False,True,5,0.9611113809277935,0,131,0,264,0,13.096160976125027,sustained,False
hgt_without_fusion,12,12050,information_homogenized_coexistence,False,True,4,0.8993313239188446,0,146,1,102,0,49.70070512820014,sustained,False
hgt_without_fusion,13,13050,information_homogenized_coexistence,False,True,4,0.9500167642301159,0,126,1,12,0,6.895467760729197,sustained,False
hgt_without_fusion,14,14050,information_homogenized_coexistence,False,True,5,0.9762305097992485,0,152,0,32,0,2.6677538201979365,sustained,False
hgt_without_fusion,15,15050,information_homogenized_coexistence,False,True,4,0.9542060187064272,0,149,1,76,0,35.696439916313174,sustained,False
fusion_enabled,0,61,fusion_mediated_mono_lineage,True,False,1,1.0,4,1,0,7,1,58.525258197835605,sustained,True
fusion_enabled,1,1061,fusion_mediated_mono_lineage,True,False,1,1.0,4,10,0,3,1,2.1680749222104114,sustained,True
fusion_enabled,2,2061,fusion_mediated_mono_lineage,True,False,1,1.0,4,9,0,13,2,77.32353478263063,sustained,True
fusion_enabled,3,3061,fusion_mediated_mono_lineage,True,False,1,1.0,4,2,0,2,2,68.39993254534073,sustained,True
fusion_enabled,4,4061,fusion_mediated_mono_lineage,True,False,1,1.0,4,6,0,6,3,8.540303513253912,sustained,True
fusion_enabled,5,5061,fusion_mediated_mono_lineage,True,False,1,1.0,4,3,0,3,0,59.64729266202808,sustained,True
fusion_enabled,6,6061,fusion_mediated_mono_lineage,True,False,1,1.0,4,0,0,1,0,23.31035187295787,sustained,True
fusion_enabled,7,7061,fusion_mediated_mono_lineage,True,False,1,1.0,4,4,0,11,2,54.43524615635257,sustained,True
fusion_enabled,8,8061,fusion_mediated_mono_lineage,True,False,1,1.0,4,5,0,9,0,21.904381145067077,sustained,True
fusion_enabled,9,9061,fusion_mediated_mono_lineage,True,False,1,1.0,4,11,0,9,0,43.844882579447486,sustained,True
fusion_enabled,10,10061,fusion_mediated_mono_lineage,True,False,1,1.0,4,7,0,14,0,9.002254294183984,sustained,True
fusion_enabled,11,11061,fusion_mediated_mono_lineage,True,False,1,1.0,4,6,0,0,0,70.91324335140378,sustained,True
fusion_enabled,12,12061,fusion_mediated_mono_lineage,True,False,1,1.0,4,6,0,4,0,3.8937982399569258,sustained,True
fusion_enabled,13,13061,fusion_mediated_mono_lineage,True,False,1,1.0,4,5,0,2,0,3.330042449390447,sustained,True
fusion_enabled,14,14061,fusion_mediated_mono_lineage,True,False,1,1.0,4,4,0,10,0,21.50776624564489,sustained,True
fusion_enabled,15,15061,fusion_mediated_mono_lineage,True,False,1,1.0,4,11,0,19,0,2.826059854808001,sustained,True
parasitic_drain,0,72,multi_lineage_coexistence,False,True,4,0.7622185569332262,0,31,1,69,434,3.7259253061643562,sustained,False
parasitic_drain,1,1072,information_homogenized_coexistence,False,True,3,0.8499285460135897,0,36,2,111,134,6.497234516680921,sustained,False
parasitic_drain,2,2072,competitive_mono_lineage,True,False,1,1.0,0,28,4,44,0,81.8696381136549,sustained,False
parasitic_drain,3,3072,information_homogenized_coexistence,False,True,3,0.8742826669692835,0,39,2,65,0,17.95491671943506,sustained,False
parasitic_drain,4,4072,multi_lineage_coexistence,False,True,5,0.7511361921484888,0,31,0,66,976,3.6168499825921367,sustained,False
parasitic_drain,5,5072,information_homogenized_coexistence,False,True,3,0.8297443067322501,0,28,2,66,761,0.2626930379053419,decay_dominated,False
parasitic_drain,6,6072,multi_lineage_coexistence,False,True,5,0.7693906685014964,0,36,0,71,36,0.5336878852103786,decay_dominated,False
parasitic_drain,7,7072,multi_lineage_coexistence,False,True,4,0.7933296561248903,0,31,1,83,677,31.234849351321444,sustained,False
parasitic_drain,8,8072,information_homogenized_coexistence,False,True,3,0.861756300279778,0,32,2,24,266,49.84348051935983,sustained,False
parasitic_drain,9,9072,information_homogenized_coexistence,False,True,2,0.9064316134541763,0,29,3,40,74,93.7041978862995,sustained,False
parasitic_drain,10,10072,information_homogenized_coexistence,False,True,2,0.8204787910209707,0,24,3,93,0,82.85199945028218,sustained,False
parasitic_drain,11,11072,multi_lineage_coexistence,False,True,4,0.7918175158801409,0,27,1,56,402,10.819369233418906,sustained,False
parasitic_drain,12,12072,multi_lineage_coexistence,False,True,4,0.8196120938166495,0,24,1,62,884,16.784080413235696,sustained,False
parasitic_drain,13,13072,multi_lineage_coexistence,False,True,4,0.7768552608009779,0,32,1,71,72,0.4179086465671479,decay_dominated,False
parasitic_drain,14,14072,multi_lineage_coexistence,False,True,3,0.7928138212285725,0,38,2,33,792,12.895930881873886,sustained,False
parasitic_drain,15,15072,multi_lineage_coexistence,False,True,3,0.780140001825569,0,29,2,88,863,48.46490616210163,sustained,False
harsh_extinction_cascade,0,83,competitive_mono_lineage,True,False,1,1.0,0,0,4,0,0,46.3025803939345,sustained,False
harsh_extinction_cascade,1,1083,total_extinction,False,True,0,1.0,0,2,5,0,0,0.0,extinct,False
harsh_extinction_cascade,2,2083,total_extinction,False,True,0,1.0,0,0,5,0,0,0.0,extinct,False
harsh_extinction_cascade,3,3083,competitive_mono_lineage,True,False,1,1.0,0,0,4,0,14,119.40788609078304,sustained,False
harsh_extinction_cascade,4,4083,competitive_mono_lineage,True,False,1,1.0,0,0,4,0,5,74.08585775012976,sustained,False
harsh_extinction_cascade,5,5083,competitive_mono_lineage,True,False,1,1.0,0,0,4,0,23,87.56919229751652,sustained,False
harsh_extinction_cascade,6,6083,competitive_mono_lineage,True,False,1,1.0,0,0,4,0,0,92.50151819667916,sustained,False
harsh_extinction_cascade,7,7083,competitive_mono_lineage,True,False,1,1.0,0,0,4,0,0,64.67332779686583,sustained,False
harsh_extinction_cascade,8,8083,total_extinction,False,True,0,1.0,0,1,5,0,5,0.0,extinct,False
harsh_extinction_cascade,9,9083,competitive_mono_lineage,True,False,1,1.0,0,1,4,0,8,25.360288799405303,sustained,False
harsh_extinction_cascade,10,10083,competitive_mono_lineage,True,False,1,1.0,0,1,4,0,2,94.16693485889544,sustained,False
harsh_extinction_cascade,11,11083,competitive_mono_lineage,True,False,1,1.0,0,0,4,0,8,61.99993448331049,sustained,False
harsh_extinction_cascade,12,12083,total_extinction,False,True,0,1.0,0,0,5,0,24,0.0,extinct,False
harsh_extinction_cascade,13,13083,competitive_mono_lineage,True,False,1,1.0,0,4,4,0,5,78.5935131381006,sustained,False
harsh_extinction_cascade,14,14083,competitive_mono_lineage,True,False,1,1.0,0,1,4,0,5,39.872690628988686,sustained,False
harsh_extinction_cascade,15,15083,total_extinction,False,True,0,1.0,0,0,5,0,3,0.0,extinct,False
balanced_baseline,0,94,fusion_mediated_mono_lineage,True,False,1,1.0,4,15,0,4,6,3.4899435755299733,sustained,True
balanced_baseline,1,1094,fusion_mediated_mono_lineage,True,False,1,1.0,4,13,0,9,17,0.99057836032292,decay_dominated,True
balanced_baseline,2,2094,fusion_mediated_mono_lineage,True,False,1,1.0,4,14,0,2,10,57.1693199486953,sustained,True
balanced_baseline,3,3094,fusion_mediated_mono_lineage,True,False,1,1.0,4,27,0,5,13,2.941012242557041,sustained,True
balanced_baseline,4,4094,fusion_mediated_mono_lineage,True,False,1,1.0,4,10,0,6,3,31.47476331911224,sustained,True
balanced_baseline,5,5094,fusion_mediated_mono_lineage,True,False,1,1.0,4,20,0,10,3,3.634885011454382,sustained,True
balanced_baseline,6,6094,fusion_mediated_mono_lineage,True,False,1,1.0,4,4,0,0,2,46.28686478713825,sustained,True
balanced_baseline,7,7094,fusion_mediated_mono_lineage,True,False,1,1.0,4,19,0,3,10,47.099082538473205,sustained,True
balanced_baseline,8,8094,fusion_mediated_mono_lineage,True,False,1,1.0,4,6,0,3,5,84.22905881813419,sustained,True
balanced_baseline,9,9094,fusion_mediated_mono_lineage,True,False,1,1.0,4,23,0,32,33,2.4125435962873207,sustained,True
balanced_baseline,10,10094,fusion_mediated_mono_lineage,True,False,1,1.0,4,4,0,5,9,24.329661757545345,sustained,True
balanced_baseline,11,11094,fusion_mediated_mono_lineage,True,False,1,1.0,4,24,0,3,9,56.704776375319646,sustained,True
balanced_baseline,12,12094,fusion_mediated_mono_lineage,True,False,1,1.0,4,7,0,4,1,65.82009993658042,sustained,True
balanced_baseline,13,13094,fusion_mediated_mono_lineage,True,False,1,1.0,4,22,0,16,0,62.341041410995395,sustained,True
balanced_baseline,14,14094,fusion_mediated_mono_lineage,True,False,1,1.0,4,29,0,3,0,0.9315316855139774,decay_dominated,True
balanced_baseline,15,15094,fusion_mediated_mono_lineage,True,False,1,1.0,4,9,0,7,14,6.878797485937002,sustained,True
