phi,constraint,S_times_Ms,psi_s,regime
0.05,0.1,0.09408658161205269,0.047043290806026344,underdriven_or_overconstrained
0.05,0.2,0.12058115542734828,0.03014528885683707,underdriven_or_overconstrained
0.05,0.30000000000000004,0.14270338235471,0.02378389705911833,underdriven_or_overconstrained
0.05,0.4,0.16139245927901763,0.020174057409877204,underdriven_or_overconstrained
0.05,0.5,0.17733711511249314,0.017733711511249316,underdriven_or_overconstrained
0.05,0.6,0.19105388213561927,0.01592115684463494,underdriven_or_overconstrained
0.05,0.7000000000000001,0.20293774215829397,0.014495553011306712,underdriven_or_overconstrained
0.05,0.8,0.21329589062668833,0.01333099316416802,underdriven_or_overconstrained
0.05,0.9,0.22237083838002636,0.012353935465557022,underdriven_or_overconstrained
0.05,1.0,0.23035658287981647,0.011517829143990825,underdriven_or_overconstrained
0.05,1.1,0.2374101590873887,0.010791370867608577,underdriven_or_overconstrained
0.05,1.2000000000000002,0.2436600401016412,0.010152501670901716,underdriven_or_overconstrained
0.05,1.3000000000000003,0.2492123463256329,0.009585090243293572,underdriven_or_overconstrained
0.05,1.4000000000000001,0.25415550234111056,0.009076982226468234,underdriven_or_overconstrained
0.05,1.5000000000000002,0.2585637761327509,0.008618792537758362,underdriven_or_overconstrained
0.05,1.6,0.2625000015679666,0.008203125048998956,underdriven_or_overconstrained
0.05,1.7000000000000002,0.2660176958808364,0.007824049878848131,underdriven_or_overconstrained
0.05,1.8000000000000003,0.26916272340913006,0.007476742316920279,underdriven_or_overconstrained
0.05,1.9000000000000001,0.2719746151095444,0.007157226713409063,underdriven_or_overconstrained
0.05,2.0,0.27448762416957295,0.006862190604239324,underdriven_or_overconstrained
0.05,2.1,0.27673157730708964,0.006588847078740229,underdriven_or_overconstrained
0.05,2.2,0.27873256645096484,0.006334831055703746,underdriven_or_overconstrained
0.05,2.3000000000000003,0.28051351466128266,0.006098119883940927,underdriven_or_overconstrained
0.05,2.4000000000000004,0.2820946421810078,0.005876971712104329,underdriven_or_overconstrained
0.05,2.5000000000000004,0.2834938525928148,0.005669877051856295,underdriven_or_overconstrained
0.05,2.6,0.2847270546161882,0.005475520281080543,underdriven_or_overconstrained
0.05,2.7,0.28580843172095993,0.005292748735573332,underdriven_or_overconstrained
0.05,2.8000000000000003,0.28675066917004766,0.005120547663750851,underdriven_or_overconstrained
0.05,2.9000000000000004,0.2875651461323072,0.0049580197609018495,underdriven_or_overconstrained
0.05,3.0000000000000004,0.2882620989782323,0.004804368316303872,underdriven_or_overconstrained
0.05,3.1,0.28885076067850224,0.004658883236750036,underdriven_or_overconstrained
0.05,3.2,0.2893394802882404,0.0045209293795037565,underdriven_or_overconstrained
0.05,3.3000000000000003,0.28973582575884366,0.004389936753921873,underdriven_or_overconstrained
0.05,3.4000000000000004,0.2900466727298165,0.004265392246026713,underdriven_or_overconstrained
0.05,3.5000000000000004,0.29027828148150026,0.004146832592592861,underdriven_or_overconstrained
0.05,3.6,0.2904363638503005,0.004033838386809731,underdriven_or_overconstrained
0.05,3.7,0.29052614160136114,0.003926028940558934,underdriven_or_overconstrained
0.05,3.8000000000000003,0.29055239750447515,0.003823057861900989,underdriven_or_overconstrained
0.05,3.9000000000000004,0.29051952015562904,0.0037246092327644746,underdriven_or_overconstrained
0.05,4.0,0.2904315434197915,0.003630394292747394,underdriven_or_overconstrained
0.05,4.1,0.2902921812332095,0.0035401485516245064,underdriven_or_overconstrained
0.05,4.2,0.2901048583898942,0.0034536292665463594,underdriven_or_overconstrained
0.05,4.3,0.28987273784268675,0.0033706132307289157,underdriven_or_overconstrained
0.05,4.3999999999999995,0.28959874497072025,0.00329089482921273,underdriven_or_overconstrained
0.05,4.5,0.2892855891993724,0.0032142843244374712,underdriven_or_overconstrained
0.05,4.6,0.2889357833036499,0.003140606340257064,underdriven_or_overconstrained
0.05,4.7,0.28855166067949445,0.003069698517866962,underdriven_or_overconstrained
0.05,4.8,0.2881353908282645,0.0030014103211277554,underdriven_or_overconstrained
0.05,4.9,0.28768899326638736,0.0029356019721059933,underdriven_or_overconstrained
0.05,5.0,0.28721435004391427,0.0028721435004391426,underdriven_or_overconstrained
0.05,5.1,0.2867132170316128,0.0028109138924667927,underdriven_or_overconstrained
0.05,5.2,0.28618723411563335,0.002751800328034936,underdriven_or_overconstrained
0.05,5.3,0.2856379344211314,0.0026946974945389755,underdriven_or_overconstrained
0.05,5.4,0.2850667526710543,0.0026395069691764286,underdriven_or_overconstrained
0.05,5.5,0.2844750327732296,0.002586136661574815,underdriven_or_overconstrained
0.05,5.6,0.28386403471760185,0.0025345003099785882,underdriven_or_overconstrained
0.05,5.7,0.28323494085569345,0.002484517025049942,underdriven_or_overconstrained
0.05,5.8,0.2825888616258844,0.0024361108760852105,underdriven_or_overconstrained
0.05,5.9,0.2819268407807333,0.0023892105150909605,underdriven_or_overconstrained
0.05,6.0,0.28124986016613523,0.0023437488347177937,underdriven_or_overconstrained
0.15084745762711865,0.1,0.12579696796028614,0.18976152794009263,underdriven_or_overconstrained
0.15084745762711865,0.2,0.16122111661420235,0.1215989777852882,underdriven_or_overconstrained
0.15084745762711865,0.30000000000000004,0.19079928838226887,0.09593862523176229,underdriven_or_overconstrained
